Country,Plant category,Plant type,Construction costs (USD/MWh),Refurbishment costs (USD/MWh),Decommissioning costs (USD/MWh),Total capital costs (USD/MWh),Operations & maintenance costs (USD/MWh),Energy type,Total Fuel cost (USD/MWh),energy_type
Japan,Nuclear,ALWR (1152 MW),46.87,0,0.05,46.92,25.84,Nuclear,13.92,ALWR
"Korea, Republic of",Nuclear,ALWR (1377 MW),25.51,0,0.03,25.54,18.44,Nuclear,9.33,ALWR
Italy,Biomass,Biomass (0.42 MW),70.23,0,0.19,70.42,59,Biomass,175.04,Biomass
Italy,Biomass,Biomass (0.45 MW),48.93,0,0.13,49.07,26.89,Biomass,0,Biomass
Brazil,Biomass,Biomass (25.0 MW),34.68,0,0.09,34.78,18.75,Biomass,0,Biomass
India,Biomass,Biomass (30.0 MW),9.32,0,0.03,9.34,2.24,Biomass,154.05,Biomass
Italy,CHP,Biomass (CHP) (0.42 MW),70.23,0,0.19,70.42,59,CHP,170.44,Biomass
Denmark,CHP,Biomass (CHP) (177 MW),83.54,0,0.23,83.76,33.29,CHP,143.98,Biomass
Denmark,CHP,Biomass (CHP) (258 MW),49.14,0,0.13,49.27,19.36,CHP,109.67,Biomass
Denmark,CHP,Biomass (CHP) (261 MW),56.51,0,0.15,56.66,20.78,CHP,167.51,Biomass
Denmark,CHP,Biomass (CHP) (358 MW),42.26,0,0.11,42.37,14.28,CHP,136.25,Biomass
United States,Coal,Coal (641 MW),46.48,0,0.13,46.61,29.5,Coal,24.47,Coal
Brazil,Lignite,Coal (900 MW),24.48,0,0.07,24.55,8.6,Lignite,42.56,Coal
United States,Coal,Coal (CCUS) (499 MW),66.99,0,0.18,67.17,42.96,Coal,30.63,Coal
France,Fuel cell,Fuel cell (0.003 MW),82.3,0,0.96,83.26,42.66,Fuel cell,161.11,Fuel cell
France,Fuel cell,Fuel cell (0.20 MW),74.82,0,0.87,75.69,22.59,Fuel cell,161.11,Fuel cell
Norway,Fuel cell,Fuel cell (1.0 MW),44.74,0,0.52,45.26,1.69,Fuel cell,161.11,Fuel cell
France,Fuel cell,Fuel cell (15.2 MW),29.93,0,0.35,30.28,36.75,Fuel cell,161.11,Fuel cell
Japan,Gas,Gas (CCGT) (1372 MW),12.86,0,0.07,12.93,7.7,Gas,95.16,Gas
Canada,Gas,Gas (CCGT) (471 MW),12.27,0,0.07,12.34,6.96,Gas,30.11,Gas
China,Gas,Gas (CCGT) (475 MW),6.49,0,0.04,6.53,13.49,Gas,84.58,Gas
"Korea, Republic of",Gas,Gas (CCGT) (491 MW),12.84,0,0.07,12.91,11.36,Gas,94.94,Gas
Belgium,Gas,Gas (CCGT) (500 MW),11.71,0,0.06,11.77,4.8,Gas,69.95,Gas
Belgium,Gas,Gas (CCGT) (500 MW),8.9,0,0.05,8.95,6,Gas,73.18,Gas
Belgium,Gas,Gas (CCGT) (500 MW),11.29,0,0.06,11.36,6.67,Gas,74.36,Gas
Mexico,Gas,Gas (CCGT) (503 MW),7.76,0,0.04,7.81,5.28,Gas,32.54,Gas
Australia,Gas,Gas (CCGT) (506 MW),11.07,0,0.06,11.14,6.59,Gas,82.67,Gas
United States,Gas,Gas (CCGT) (727 MW),11.04,0,0.06,11.1,5.3,Gas,29.3,Gas
Romania,Gas,Gas (CCGT) (750 MW),2.94,0.06,0.02,3.01,46.27,Gas,74.36,Gas
Mexico,Gas,Gas (CCGT) (785 MW),7.74,0,0.04,7.78,5.73,Gas,29.21,Gas
Italy,Gas,Gas (CCGT) (790 MW),6.85,0,0.04,6.88,6.99,Gas,72.8,Gas
Mexico,Gas,Gas (CCGT) (835 MW),5.41,0,0.03,5.44,5.51,Gas,29.81,Gas
Brazil,Gas,Gas (CCGT) (980 MW),11.11,0,0.06,11.17,11.21,Gas,29.75,Gas
"Korea, Republic of",Gas,Gas (CCGT) (982 MW),9.72,0,0.05,9.78,8.41,Gas,92.35,Gas
Australia,Gas,"Gas (CCGT, CCUS) (437 MW)",32.78,0,0.18,32.96,12.87,Gas,91.59,Gas
United States,Gas,"Gas (CCGT, CCUS) (646 MW)",27.97,0,0.16,28.13,14.22,Gas,33.83,Gas
Slovakia,CHP,"Gas (CCGT, CHP) (5.8 MW)",16.34,3.37,0.09,19.8,7.74,CHP,111.76,Gas
Denmark,CHP,"Gas (CCGT, CHP) (500 MW)",17.69,0,0.1,17.78,11.96,CHP,74.77,Gas
Canada,Gas,Gas (OCGT/int. comb.) (100 MW),36.2,0,0.21,36.41,8.7,Gas,37.36,Gas
Italy,Gas,Gas (OCGT/int. comb.) (130 MW),10.3,0,0.06,10.36,11.11,Gas,101.28,Gas
Canada,Gas,Gas (OCGT/int. comb.) (243 MW),16.44,0,0.09,16.53,18.53,Gas,38.22,Gas
Belgium,Gas,Gas (OCGT/int. comb.) (350 MW),16.86,0,0.1,16.95,7.5,Gas,95.54,Gas
Belgium,Gas,Gas (OCGT/int. comb.) (500 MW),21.28,0,0.12,21.4,9.83,Gas,93.88,Gas
Belgium,Gas,Gas (OCGT/int. comb.) (500 MW),18.73,0,0.11,18.84,7.99,Gas,99.13,Gas
Australia,Gas,Gas (OCGT/int. comb.) (537 MW),21.2,0,0.12,21.32,9.09,Gas,113.54,Gas
Brazil,Gas,Gas (OCGT/int. comb.) (980 MW),23.45,0,0.13,23.59,16.71,Gas,35.74,Gas
Denmark,CHP,"Gas (OCGT/int. comb., CHP) (125 MW)",14.26,0,0.08,14.35,10.77,CHP,94.95,Gas
Romania,CHP,"Gas (OCGT/int. comb., CHP) (195 MW)",3.49,0.14,0.02,3.65,11.75,CHP,61.18,Gas
Slovakia,CHP,"Gas (OCGT/int. comb., CHP) (35.9 MW)",10.76,0,0.06,10.82,6.1,CHP,84.76,Gas
Russian Federation,Nuclear,Gen III projects (1122 MW),26.86,0,0.03,26.88,10.15,Nuclear,4.99,Gen III projects
France,Nuclear,Gen III projects (1650 MW),47.46,0,0.05,47.51,14.26,Nuclear,9.33,Gen III projects
Italy,Geothermal,Geothermal (10.0 MW),112.74,0,0.3,113.04,23.02,Geothermal,0,Geothermal
Italy,Geothermal,Geothermal (15.0 MW),82.06,0,0.22,82.27,21.25,Geothermal,0,Geothermal
United States,Geothermal,Geothermal (25.0 MW),68.17,0,0.18,68.35,25.19,Geothermal,0,Geothermal
United States,Geothermal,Geothermal (30.0 MW),45.08,0,0.12,45.2,16.63,Geothermal,0,Geothermal
Italy,Geothermal,Geothermal (39.6 MW),50.04,0,0.13,50.17,17.96,Geothermal,0,Geothermal
Italy,Geothermal,Geothermal (5.0 MW),126.09,0,0.33,126.42,25.38,Geothermal,0,Geothermal
Italy,Hydro,Hydro reservoir (< 5 MW) (0.32 MW),55.93,0,0.01,55.94,16.85,Hydro,0,Hydro reservoir
Japan,Hydro,Hydro reservoir (>= 5 MW) (12.0 MW),119.38,0,0.02,119.4,23,Hydro,0,Hydro reservoir
Italy,Hydro,Hydro reservoir (>= 5 MW) (15.0 MW),75.78,0,0.01,75.8,18.37,Hydro,0,Hydro reservoir
India,Hydro,Hydro reservoir (>= 5 MW) (175 MW),37.68,0,0.01,37.69,11.65,Hydro,0,Hydro reservoir
Norway,Hydro,Hydro reservoir (>= 5 MW) (30.0 MW),33.72,0,0.01,33.73,4.92,Hydro,0,Hydro reservoir
Sweden,Nuclear,LTO (10 years) (1000 MW),8.79,0,0.32,9.11,12.92,Nuclear,9.33,LTO
Switzerland,Nuclear,LTO (10 years) (1000 MW),10.88,0,0.4,11.29,12.92,Nuclear,9.33,LTO
France,Nuclear,LTO (10 years) (1000 MW),12.45,0,0.46,12.91,12.92,Nuclear,9.33,LTO
United States,Nuclear,LTO (10 years) (1000 MW),7.74,0,0.29,8.02,18.69,Nuclear,9.33,LTO
Sweden,Nuclear,LTO (20 years) (1000 MW),5.83,0,0.11,5.93,12.92,Nuclear,9.33,LTO
Switzerland,Nuclear,LTO (20 years) (1000 MW),7.22,0,0.14,7.35,12.92,Nuclear,9.33,LTO
France,Nuclear,LTO (20 years) (1000 MW),8.25,0,0.15,8.41,12.92,Nuclear,9.33,LTO
United States,Nuclear,LTO (20 years) (1000 MW),5.13,0,0.1,5.23,18.69,Nuclear,9.33,LTO
United States,Nuclear,LWR (1100 MW),50.26,0,0.05,50.32,11.6,Nuclear,9.33,LWR
India,Nuclear,LWR (950 MW),32.85,0,0.03,32.89,5.43,Nuclear,9.33,LWR
Slovakia,Nuclear,Nuclear (1004 MW),81.84,0.87,0.09,82.8,9.71,Nuclear,9.33,Nuclear
China,Nuclear,Nuclear (950 MW),29.57,0,0.03,29.6,26.42,Nuclear,10,Nuclear
United States,Coal,Pulverised (138 MW),49,0,0.13,49.13,30.47,Coal,27.5,Pulverised
United States,Coal,Pulverised (140 MW),38.54,0,0.1,38.65,22.25,Coal,27.67,Pulverised
United States,Coal,Pulverised (650 MW),27.71,0,0.08,27.78,17.01,Coal,25.54,Pulverised
United States,Coal,Pulverised (CCUS) (650 MW),51.48,0,0.14,51.62,30.45,Coal,30.81,Pulverised
Romania,CHP,"Pulverised, lignite (CHP) (2900 MW)",19.29,2.29,0.05,21.63,129.88,CHP,16.28,"Pulverised, lignite"
Italy,Hydro,Run of river (< 5 MW) (0.015 MW),108.42,0,0.02,108.43,24.64,Hydro,0,Run of river
Italy,Hydro,Run of river (< 5 MW) (0.10 MW),81.34,0,0.01,81.35,17.01,Hydro,0,Run of river
Italy,Hydro,Run of river (< 5 MW) (0.19 MW),91.61,0,0.02,91.63,21.47,Hydro,0,Run of river
Italy,Hydro,Run of river (< 5 MW) (0.25 MW),75.49,0,0.01,75.5,22.09,Hydro,0,Run of river
Italy,Hydro,Run of river (< 5 MW) (0.25 MW),228.52,0,0.04,228.56,29.18,Hydro,0,Run of river
Italy,Hydro,Run of river (< 5 MW) (0.25 MW),358.18,0,0.06,358.24,51.07,Hydro,0,Run of river
Italy,Hydro,Run of river (< 5 MW) (0.50 MW),48.39,0,0.01,48.4,13.01,Hydro,0,Run of river
Italy,Hydro,Run of river (< 5 MW) (0.50 MW),100.67,0,0.02,100.69,12.07,Hydro,0,Run of river
Italy,Hydro,Run of river (< 5 MW) (0.50 MW),230.41,0,0.04,230.45,17.52,Hydro,0,Run of river
Italy,Hydro,Run of river (< 5 MW) (0.69 MW),73.43,0,0.01,73.44,12.47,Hydro,0,Run of river
Italy,Hydro,Run of river (< 5 MW) (1.0 MW),60.78,0,0.01,60.79,8.71,Hydro,0,Run of river
Italy,Hydro,Run of river (< 5 MW) (2.1 MW),58.94,0,0.01,58.95,8.42,Hydro,0,Run of river
Austria,Hydro,Run of river (< 5 MW) (2.2 MW),42.4,0,0.01,42.41,11.92,Hydro,0,Run of river
Norway,Hydro,Run of river (< 5 MW) (3.0 MW),38.58,0,0.01,38.59,8.61,Hydro,0,Run of river
United States,Hydro,Run of river (< 5 MW) (3.7 MW),105.26,0,0.02,105.28,23.4,Hydro,0,Run of river
United States,Hydro,Run of river (< 5 MW) (4.2 MW),66.09,0,0.01,66.1,24.42,Hydro,0,Run of river
United States,Hydro,Run of river (< 5 MW) (4.8 MW),95.47,0,0.02,95.49,22.24,Hydro,0,Run of river
Germany,Hydro,Run of river (>= 5 MW) (24.5 MW),42.61,5.88,0.01,48.5,8.5,Hydro,0,Run of river
Brazil,Hydro,Run of river (>= 5 MW) (248 MW),42.95,0,0.01,42.96,3.16,Hydro,0,Run of river
United States,Hydro,Run of river (>= 5 MW) (44.1 MW),93.18,0,0.02,93.2,7.57,Hydro,0,Run of river
Italy,Hydro,Run of river (>= 5 MW) (5.0 MW),76.28,0,0.01,76.29,27.53,Hydro,0,Run of river
United States,Hydro,Run of river (>= 5 MW) (82.2 MW),84.26,0,0.01,84.28,5.93,Hydro,0,Run of river
United States,Hydro,Run of river (>= 5 MW) (median case) (44.7 MW),62.24,0,0.01,62.25,8.33,Hydro,0,Run of river
United States,Hydro,Run of river (>= 5 MW) (median case) (94.0 MW),81.84,0,0.01,81.85,5.35,Hydro,0,Run of river
Hungary,Solar,Solar PV (commercial) (0.050 MW),98.2,4.47,0.82,103.49,2.1,Solar PV,0,Solar PV
Italy,Solar,Solar PV (commercial) (0.083 MW),68.22,11.7,0.57,80.49,21.09,Solar PV,0,Solar PV
"Korea, Republic of",Solar,Solar PV (commercial) (0.099 MW),84.52,0,0.7,85.23,12.91,Solar PV,0,Solar PV
Denmark,Solar,Solar PV (commercial) (0.10 MW),66.11,0,0.55,66.66,11.1,Solar PV,0,Solar PV
Netherlands,Solar,Solar PV (commercial) (0.20 MW),62.89,0.91,0.52,64.33,25.17,Solar PV,0,Solar PV
Italy,Solar,Solar PV (commercial) (0.21 MW),54.01,0,0.45,54.46,16.52,Solar PV,0,Solar PV
United States,Solar,Solar PV (commercial) (0.30 MW),68.07,0,0.57,68.64,5.83,Solar PV,0,Solar PV
United States,Solar,Solar PV (commercial) (0.30 MW),73.67,0,0.61,74.28,6.31,Solar PV,0,Solar PV
United States,Solar,Solar PV (commercial) (0.30 MW),91.83,0,0.76,92.59,7.86,Solar PV,0,Solar PV
United States,Solar,Solar PV (commercial) (0.30 MW),106.45,0,0.89,107.33,9.11,Solar PV,0,Solar PV
Norway,Solar,Solar PV (commercial) (0.30 MW),97.89,0,0.82,98.7,41.75,Solar PV,0,Solar PV
Italy,Solar,Solar PV (commercial) (0.42 MW),63.23,11.7,0.53,75.46,18.28,Solar PV,0,Solar PV
France,Solar,Solar PV (commercial) (0.50 MW),49.26,0,0.41,49.67,24.31,Solar PV,0,Solar PV
Hungary,Solar,Solar PV (commercial) (0.50 MW),81.39,1.87,0.68,83.94,20.34,Solar PV,0,Solar PV
United States,Solar,Solar PV (commercial) (median case) (0.30 MW),86.09,0,0.72,86.81,7.37,Solar PV,0,Solar PV
Netherlands,Solar,Solar PV (floating) (8.0 MW),62.26,0.89,0.52,63.66,22.73,Solar PV,0,Solar PV
Hungary,Solar,Solar PV (residential) (0.004 MW),129.55,7.54,1.08,138.16,3.53,Solar PV,0,Solar PV
Japan,Solar,Solar PV (residential) (0.004 MW),198.74,0,1.66,200.4,22.91,Solar PV,0,Solar PV
Italy,Solar,Solar PV (residential) (0.004 MW),96.45,12.5,0.8,109.75,164.82,Solar PV,0,Solar PV
United States,Solar,Solar PV (residential) (0.005 MW),123.59,0,1.03,124.62,10.8,Solar PV,0,Solar PV
Italy,Solar,Solar PV (residential) (0.005 MW),81.52,0,0.68,82.2,57.53,Solar PV,0,Solar PV
United States,Solar,Solar PV (residential) (0.005 MW),127.93,0,1.07,128.99,11.18,Solar PV,0,Solar PV
